Statistical profiling result from autocannon_con_log.log, (5123 ticks, 82 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^get node:events:263:16
      1    0.0%    0.0%  Function: ^get loadBalanced /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:91:21
      1    0.0%    0.0%  Function: ^get isDataBearing /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server_description.js:76:22
      1    0.0%    0.0%  Function: ^get hasSubscribers node:diagnostics_channel:88:21
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/bson.js:20:76
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/bson.js:7:76
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/bson.js:22:74
      1    0.0%    0.0%  Function: ^fromStringFast node:buffer:413:24
      1    0.0%    0.0%  Function: ^fromOptions /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/read_concern.js:36:23
      1    0.0%    0.0%  Function: ^fromArrayBuffer node:buffer:449:25
      1    0.0%    0.0%  Function: ^from node:buffer:296:28
      1    0.0%    0.0%  Function: ^formatRaw node:internal/util/inspect:820:19
      1    0.0%    0.0%  Function: ^formatProperty node:internal/util/inspect:1810:24
      1    0.0%    0.0%  Function: ^formatPrimitive node:internal/util/inspect:1519:25
      1    0.0%    0.0%  Function: ^forEachMimeType /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mime-types/index.js:158:52
      1    0.0%    0.0%  Function: ^fastparse /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/parseurl/index.js:95:20
      1    0.0%    0.0%  Function: ^extname node:path:1385:10
      1    0.0%    0.0%  Function: ^exports.sign /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/cookie-signature/index.js:16:24
      1    0.0%    0.0%  Function: ^endSession /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:129:15
      1    0.0%    0.0%  Function: ^emitReadable_ node:internal/streams/readable:574:23
      1    0.0%    0.0%  Function: ^emitBeforeScript node:internal/async_hooks:510:26
      1    0.0%    0.0%  Function: ^dispatch /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/route.js:98:45
      1    0.0%    0.0%  Function: ^digest node:internal/crypto/hash:115:40
      1    0.0%    0.0%  Function: ^defaultTriggerAsyncIdScope node:internal/async_hooks:456:36
      1    0.0%    0.0%  Function: ^debug /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.0%  Function: ^createError /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/http-errors/index.js:49:22
      1    0.0%    0.0%  Function: ^command /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection.js:251:12
      1    0.0%    0.0%  Function: ^closeSync node:fs:526:19
