Statistical profiling result from artillery_con_log.log, (5014 ticks, 59 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:668:38
      1    0.0%    0.0%  Function: ^<anonymous> node:_http_outgoing:558:44
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server_selection.js:192:12
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:44:71
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:42:35
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:210:101
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:69:70
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:154:61
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:293:27
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:189:26
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/engine.io/build/server.js:479:30
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:742:32

 [C++]:
   ticks  total  nonlib   name
   2249   44.9%   48.4%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
    902   18.0%   19.4%  T _posix_spawnattr_setflags
    254    5.1%    5.5%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    136    2.7%    2.9%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
    125    2.5%    2.7%  T _sigprocmask
     91    1.8%    2.0%  T _mach_port_insert_member
