Statistical profiling result from artillery_sin_log.log, (4778 ticks, 50 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^get bsonOptions /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/collection.js:120:20
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/promise_provider.js:30:15
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/bson.js:28:74
      1    0.0%    0.0%  Function: ^fromOptions /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/read_preference.js:76:23
      1    0.0%    0.0%  Function: ^exports.escapeXML /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/utils.js:96:30
      1    0.0%    0.0%  Function: ^executeCommand /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/command.js:48:19
      1    0.0%    0.0%  Function: ^execute /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/update.js:75:12
      1    0.0%    0.0%  Function: ^entitytag /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/etag/index.js:39:20
      1    0.0%    0.0%  Function: ^emitReadable node:internal/streams/readable:563:22
      1    0.0%    0.0%  Function: ^e /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/@faker-js/faker/dist/cjs/locales/index.js:1:265
      1    0.0%    0.0%  Function: ^done /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/response.js:1033:27
      1    0.0%    0.0%  Function: ^deserialize /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:36:21
      1    0.0%    0.0%  Function: ^deserialize /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/bson.js:161:21
      1    0.0%    0.0%  Function: ^decode /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/send/index.js:997:17
      1    0.0%    0.0%  Function: ^debug /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.0%  Function: ^createHash node:crypto:129:20
      1    0.0%    0.0%  Function: ^connectionListenerInternal node:_http_server:443:36
      1    0.0%    0.0%  Function: ^concat node:buffer:536:32
      1    0.0%    0.0%  Function: ^completeEndSession /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:138:40
      1    0.0%    0.0%  Function: ^checkListener node:events:257:23
      1    0.0%    0.0%  Function: ^basename node:path:1306:11
      1    0.0%    0.0%  Function: ^assertEncoding node:internal/fs/utils:151:24
      1    0.0%    0.0%  Function: ^append /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/utils.js:813:11
      1    0.0%    0.0%  Function: ^app /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/express.js:38:21
      1    0.0%    0.0%  Function: ^afterWriteTick node:internal/streams/writable:482:24
      1    0.0%    0.0%  Function: ^addChunk node:internal/streams/readable:304:18
      1    0.0%    0.0%  Function: ^_send node:_http_outgoing:319:49
      1    0.0%    0.0%  Function: ^_handles_method /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/route.js:58:59
      1    0.0%    0.0%  Function: ^_destroy node:internal/streams/destroy:70:18
      1    0.0%    0.0%  Function: ^_copyActual node:buffer:243:21
      1    0.0%    0.0%  Function: ^_addListener node:events:554:22
      1    0.0%    0.0%  Function: ^_addHeaderLines node:_http_incoming:199:25
      1    0.0%    0.0%  Function: ^Url node:url:60:13
      1    0.0%    0.0%  Function: ^Socket._writev node:net:801:36
      1    0.0%    0.0%  Function: ^Socket._writeGeneric node:net:769:42
      1    0.0%    0.0%  Function: ^Readable.push node:internal/streams/readable:227:35
      1    0.0%    0.0%  Function: ^Msg /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/commands.js:317:16
      1    0.0%    0.0%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.0%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.0%  Function: ^Module node:internal/modules/cjs/loader:172:16
      1    0.0%    0.0%  Function: ^Long.compare /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/long.js:291:39
      1    0.0%    0.0%  Function: ^Long /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/long.js:59:18
      1    0.0%    0.0%  Function: ^EventEmitter.init node:events:326:29
      1    0.0%    0.0%  Function: ^ConnectionPoolMonitoringEvent /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool_events.js:11:16
      1    0.0%    0.0%  Function: ^CommandOperation /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/command.js:14:16
      1    0.0%    0.0%  Function: ^AbstractCursor /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cursor/abstract_cursor.js:51:16
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:73:3
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:668:38
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/utils.js:357:13
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/update.js:76:40
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:16:48
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/connect.js:53:28
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cursor/find_cursor.js:54:79

 [C++]:
   ticks  total  nonlib   name
   2055   43.0%   46.6%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
   1010   21.1%   22.9%  T _posix_spawnattr_setflags
    233    4.9%    5.3%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    135    2.8%    3.1%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
    106    2.2%    2.4%  T _sigprocmask
     66    1.4%    1.5%  T __kernelrpc_mach_port_move_member_trap
     59    1.2%    1.3%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     51    1.1%    1.2%  T _mach_timebase_info_trap
     49    1.0%    1.1%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     33    0.7%    0.7%  T _semaphore_destroy
     19    0.4%    0.4%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
     19    0.4%    0.4%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     19    0.4%    0.4%  T _task_get_exception_ports
     19    0.4%    0.4%  T _mach_msg_overwrite_trap
     18    0.4%    0.4%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
     18    0.4%    0.4%  T _mach_port_insert_member
     17    0.4%    0.4%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
     13    0.3%    0.3%  T ___bsdthread_terminate
     11    0.2%    0.2%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     11    0.2%    0.2%  t ___pfz_setup
      7    0.1%    0.2%  t __os_nospin_lock_unlock_slow
      5    0.1%    0.1%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.1%    0.1%  t __os_once_gate_wait
      5    0.1%    0.1%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.1%    0.1%  T _mach_port_extract_member
      4    0.1%    0.1%  t __os_nospin_lock_lock_slow
      4    0.1%    0.1%  T __kernelrpc_mach_port_get_refs
      3    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
