Statistical profiling result from autocannon_sin_log.log, (4825 ticks, 77 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:69:70
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/connect.js:53:28
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/index.js:598:43
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/connect-mongo/build/main/lib/MongoStore.js:236:10

 [C++]:
   ticks  total  nonlib   name
   2265   46.9%   51.5%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
    590   12.2%   13.4%  T _posix_spawnattr_setflags
    261    5.4%    5.9%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    146    3.0%    3.3%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
    101    2.1%    2.3%  T _sigprocmask
     94    1.9%    2.1%  T __kernelrpc_mach_port_move_member_trap
     83    1.7%    1.9%  T _mach_port_insert_member
     62    1.3%    1.4%  T _mach_timebase_info_trap
     51    1.1%    1.2%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     42    0.9%    1.0%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     34    0.7%    0.8%  T _semaphore_destroy
     22    0.5%    0.5%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     20    0.4%    0.5%  T _task_get_exception_ports
     20    0.4%    0.5%  T _mach_msg_overwrite_trap
     18    0.4%    0.4%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
     18    0.4%    0.4%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
     15    0.3%    0.3%  T ___bsdthread_terminate
     14    0.3%    0.3%  T _mach_port_insert_right
     12    0.2%    0.3%  t ___pfz_setup
     11    0.2%    0.3%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      8    0.2%    0.2%  t __os_nospin_lock_unlock_slow
      8    0.2%    0.2%  T __kernelrpc_mach_port_get_refs
      7    0.1%    0.2%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.1%    0.1%  T _os_unfair_recursive_lock_lock_with_options
      6    0.1%    0.1%  T _mmap
      4    0.1%    0.1%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t __os_once_gate_wait
      4    0.1%    0.1%  t __os_nospin_lock_lock_slow
      4    0.1%    0.1%  T _task_restartable_ranges_register
      4    0.1%    0.1%  T _mach_port_extract_member
      3    0.1%    0.1%  t void std::__1::__tree_balance_after_insert<std::__1::__tree_node_base<void*>*>(std::__1::__tree_node_base<void*>*, std::__1::__tree_node_base<void*>*)
      2    0.0%    0.0%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  t std::__1::__hash_table<unsigned long long, std::__1::hash<unsigned long long>, std::__1::equal_to<unsigned long long>, std::__1::allocator<unsigned long long> >::__rehash(unsigned long)
      2    0.0%    0.0%  t node::EnvGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  T node::fs::NewFSReqCallback(v8::FunctionCallbackInfo<v8::Value> const&)
